name,id,brewer,alcohol_by_volume,style,category,country
Rycerskie,1297,Browar NamysÅ‚Ã³w Sp. z o.o.,7.0,Traditional German-Style Bock,German Lager,Poland
O.K. Beer,1898,Browar Okocim,0.0,NA,NA,Poland
Tyskie Gronie,1409,Tyskie Browary KsiÄ…Å¼Ä™ce,5.6999998093,NA,NA,Poland
Porter,1572,Browar Zywiec,9.5,American-Style Stout,North American Ale,Poland
Okocim Porter,168,Browar Okocim,8.3000001907,Porter,Irish Ale,Poland
Warka Strong,290,Browar Warka,7.0,American-Style Lager,North American Lager,Poland
Mocny BOSS / BOSS Beer,429,BOSS Browar Witnica S.A.,8.1000003815,American-Style Lager,North American Lager,Poland
Krakus,2564,Browar Zywiec,0.0,NA,NA,Poland
Porter Czarny Boss / Black BOSS Porter,931,BOSS Browar Witnica S.A.,9.6000003815,American-Style Stout,North American Ale,Poland
