name,id,brewer,alcohol_by_volume,style,category,country
Negra,859,Cervezas Alhambra,5.4000000954,German-Style Schwarzbier,German Lager,Spain
Estrella Levante Clasica,5897,S.A. Damm,4.8000001907,Baltic-Style Porter,Other Lager,Spain
Estrella Damm,5151,S.A. Damm,4.5999999046,American-Style Lager,North American Lager,Spain
Estrella Levante Sin 0.0% Alcohol,5899,S.A. Damm,1.0,Baltic-Style Porter,Other Lager,Spain
Estrella Levante Especial,5898,S.A. Damm,5.4000000954,Baltic-Style Porter,Other Lager,Spain
