name,id,brewer,alcohol_by_volume,style,category,country
Dark Lager,1724,San Miguel Corporation,0.0,German-Style Schwarzbier,German Lager,Philippines
San Miguel 1516,4327,San Miguel Corporation,4.1999998093,NA,NA,Philippines
