name,id,brewer,alcohol_by_volume,style,category,country
Export,1440,Alaus Darykla Kalnapilis,5.4000000954,NA,NA,Lithuania
1784 Anniversary Beer,895,vyturio Alaus Darykla,5.4000000954,NA,NA,Lithuania
Porter,2720,Utenos Alus,6.8000001907,Porter,Irish Ale,Lithuania
Baltas Alus,896,vyturio Alaus Darykla,5.1999998093,South German-Style Hefeweizen,German Ale,Lithuania
