name,id,brewer,alcohol_by_volume,style,category,country
Green Beer,1733,Qingdao Brewery,0.0,American-Style Lager,North American Lager,China
Red Dragon Xtreme,5150,Tsingtao,0.0,American-Style Lager,North American Lager,China
