name,id,brewer,alcohol_by_volume,style,category,country
Cabro Extra,3555,Cervecera Nacional,0.0,American-Style Lager,North American Lager,Panama
Atlas Lager,3112,Cervecera Nacional,3.75,American-Style Lager,North American Lager,Panama
Balboa Cerveza Pilsner,3111,Cervecera Nacional,0.0,American-Style Lager,North American Lager,Panama
