name,id,brewer,alcohol_by_volume,style,category,country
Beer Geek Breakfast,179,Mikkeller,7.5,American-Style Imperial Stout,North American Ale,Denmark
47 Bryg,2118,Carlsberg Bryggerierne,7.0,Traditional German-Style Bock,German Lager,Denmark
Elephant,2014,Carlsberg Bryggerierne,7.1999998093,Traditional German-Style Bock,German Lager,Denmark
Porter,248,Bryggeriet lfabrikken,8.0,Porter,Irish Ale,Denmark
Jacobsen Dark Lager,5498,Carlsberg Bryggerierne,5.8000001907,NA,NA,Denmark
Simcoe Single Hop IPA,5824,Mikkeller,6.9000000954,American-Style India Pale Ale,North American Ale,Denmark
