name,id,brewer,alcohol_by_volume,style,category,country
Timmermans Framboise,5416,Timmermans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Kriek,3095,Brouwerij Lindemans,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Triple,5868,Brasserie Artisanale de Rulles,8.3999996185,Belgian-Style Tripel,Belgian and French Ale,Belgium
Stella Artois,4010,Brouwerij Artois,5.1999998093,American-Style Lager,North American Lager,Belgium
Grand Cru,4252,Brouwerij Rodenbach,6.0,NA,NA,Belgium
Trappist Westvleteren 12,4680,Brouwerij Abdij Saint Sixtus,11.199999809,Belgian-Style Quadrupel,Belgian and French Ale,Belgium
Lucifer,4,Brouwerij Liefmans,8.5,NA,NA,Belgium
Flemish Primitive Wild Ale (Pin Head),44,De Proef Brouwerij,9.0,NA,NA,Belgium
Petrus Oud Bruin,75,Brouwerij Bavik - De Brabandere,5.5,NA,NA,Belgium
Classic Gueuze,203,Brasserie-Brouwerij Cantillon,0.0,Belgian-Style Fruit Lambic,Belgian and French Ale,Belgium
Arabier,350,Brouwerij De Dolle Brouwers,9.0,Belgian-Style Pale Strong Ale,Belgian and French Ale,Belgium
Guldenberg,486,Brouwerij De Ranke,8.5,NA,NA,Belgium
Bi̬re de Gamme,530,Brasserie Artisanale de Rulles,0.0,NA,NA,Belgium
Dark White,533,Brasserie Fantme,0.0,NA,NA,Belgium
Gulden Draak,4395,Brouwerij Van Steenberge,10.5,NA,NA,Belgium
Achel Trappist Extra,4707,Brouwerij der Sint-Benedictusabdij de Achelse Kluis,9.5,NA,NA,Belgium
Tongerlo Dubbel  Blond,4716,Tongerlo,6.0,Other Belgian-Style Ales,Belgian and French Ale,Belgium
Rodenbach,4251,Brouwerij Rodenbach,5.0999999046,NA,NA,Belgium
Kasteel Blonde,4400,Van Honsebrouch,11.0,Golden or Blonde Ale,North American Ale,Belgium
Delirium Nocturnum,4486,Brouwerij Huyghe,9.0,Belgian-Style Dark Strong Ale,Belgian and French Ale,Belgium
Monk Pale Ale / Agnus Dei,2350,Brewery Corsendonk,0.0,NA,NA,Belgium
La Bi̬re des Collines van de Saisis,175,Brasserie Ellezelloise,0.0,NA,NA,Belgium
Winter,200,Brasserie de l'Abbaye Val-Dieu,10.5,NA,NA,Belgium
Pater 6,221,Brouwerij St. Bernardus,6.6999998093,Belgian-Style Dubbel,Belgian and French Ale,Belgium
Amber,347,Brasserie La Caracole,8.0,NA,NA,Belgium
Gouden Carolus Tripel,356,Brouwerij Het Anker,9.0,NA,NA,Belgium
Abt 12,440,Brouwerij St. Bernardus,10.0,Belgian-Style Quadrupel,Belgian and French Ale,Belgium
Nostradamus,441,Brasserie La Caracole,9.5,NA,NA,Belgium
Rochefort 6,485,Abbaye Notre Dame du St Remy,7.5,Dark American-Belgo-Style Ale,North American Ale,Belgium
Westmalle Trappist Tripel,487,Brouwerij Abdij der Trappisten van Westmalle,9.5,Belgian-Style Tripel,Belgian and French Ale,Belgium
Moinette Brune,527,Brasserie Dupont,8.5,NA,NA,Belgium
Andelot Cuvee Diabolique,805,De Proef Brouwerij,8.5,NA,NA,Belgium
Trappist Extra,816,Brouwerij De Achelse Kluis,9.5,NA,NA,Belgium
Urthel Samaranth Quadrium Ale,872,De Leyerth Brouwerijen,11.5,NA,NA,Belgium
