name,id,brewer,alcohol_by_volume,style,category,country
Baltika #8,5482,Pivzavod Baltika /,5.0,Light American Wheat Ale or Lager,Other Style,Russia
Beer,3119,Ostankinskij Pivovarennij Zavod,0.0,American-Style Lager,North American Lager,Russia
Baltika 6,5876,Baltika Breweries,7.0,Baltic-Style Porter,Other Lager,Russia
Baltika #5,5481,Pivzavod Baltika /,5.3000001907,American-Style Lager,North American Lager,Russia
Baltika #9,5483,Pivzavod Baltika /,8.0,American-Style Lager,North American Lager,Russia
Baltika 6 Porter,5149,Pivzavod Baltika /,7.0,Porter,Irish Ale,Russia
