name,id,brewer,alcohol_by_volume,style,category,country
Nora,1372,Birrificia Le Baladin,7.0,NA,NA,Italy
Birra Moretti La Rossa,4372,Birra Moretti,7.1999998093,Traditional German-Style Bock,German Lager,Italy
Panil BarriquÃ©e,531,Birrificio Torrechiara,0.0,NA,NA,Italy
Super,380,Birrificia Le Baladin,8.0,NA,NA,Italy
La Rossa,430,Birra Moretti,7.1999998093,Traditional German-Style Bock,German Lager,Italy
Wayan,381,Birrificia Le Baladin,5.5999999046,NA,NA,Italy
Sixtus,1987,Birra Forst,0.0,Traditional German-Style Bock,German Lager,Italy
NoÃ«l,891,Birrificia Le Baladin,0.0,Old Ale,British Ale,Italy
