name,id,brewer,alcohol_by_volume,style,category,country
DragÃ¶l,3698,Vivungs Bryggeri,0.0,NA,NA,Sweden
Carnegie Stark-Porter,107,Carlsberg Sverige AB,5.5,Porter,Irish Ale,Sweden
Vrak,2262,Slottskllans Bryggeri,5.4000000954,NA,NA,Sweden
Ã–stgÃ¶ta BlÃ¥bÃ¤rs,3695,Nordsj Grdsbryggeri,0.0,NA,NA,Sweden
Falcon Lagrad Gammelbrygd,3696,Carlsberg Sverige AB,5.5999999046,Old Ale,British Ale,Sweden
Romakloster,3697,Vivungs Bryggeri,4.5,NA,NA,Sweden
D. Carnegie and Company Porter,2356,Pripps Ringnes Bryggerier,5.5,American-Style Stout,North American Ale,Sweden
