name,id,brewer,alcohol_by_volume,style,category,country
Phuket Lager,5142,"Tropical Beverage (International) Co., Ltd",5.0,American-Style Lager,North American Lager,Thailand
Singha Gold,3580,Boon Rawd Brewery,0.0,NA,NA,Thailand
