name,id,brewer,alcohol_by_volume,style,category,country
Suprema,2628,Industrias La Constancia ILC,0.0,American-Style Lager,North American Lager,El Salvador
Premier,2651,Industrias La Constancia ILC,0.0,American-Style Lager,North American Lager,El Salvador
Pilsner of El Salvador,2650,Industrias La Constancia ILC,0.0,American-Style Lager,North American Lager,El Salvador
Regia Extra,2627,Industrias La Constancia ILC,0.0,American-Style Lager,North American Lager,El Salvador
Caguama,4382,CervecerÃ­a La Constancia,3.9000000954,German-Style Pilsener,German Lager,El Salvador
