name,id,brewer,alcohol_by_volume,style,category,country
Guinness Foreign Extra,1199,Desnoes & Geddes Ltd,6.5,American-Style Stout,North American Ale,Jamaica
Red Stripe Lager Beer,3692,Desnoes & Geddes Ltd,0.0,American-Style Lager,North American Lager,Jamaica
Dragon Stout,2986,Desnoes & Geddes Ltd,7.5,American-Style Stout,North American Ale,Jamaica
