name,id,brewer,alcohol_by_volume,style,category,country
Eisenbahn Escura,244,Cervejaria Sudbrack,0.0,German-Style Schwarzbier,German Lager,Brazil
Eisenbahn South American Pale Ale (S.A.P.A.),125,Cervejaria Sudbrack,0.0,American-Style Pale Ale,North American Ale,Brazil
Eisenbahn Defumada,243,Cervejaria Sudbrack,0.0,NA,NA,Brazil
Xingu,829,Cervejaria Kaiser Brasil,4.6999998093,German-Style Schwarzbier,German Lager,Brazil
Eisenbahn Dourada,245,Cervejaria Sudbrack,0.0,NA,NA,Brazil
Eisenbahn Weizenbock,4302,Cervejaria Sudbrack,8.0,South German-Style Weizenbock,German Ale,Brazil
