name,id,brewer,alcohol_by_volume,style,category,country
Marzen,1123,EJ Phair Brewing Company and Alehouse,0.0,German-Style Oktoberfest,German Lager,United States
St. Charles ESB,1132,Wynkoop Brewing,4.5,Extra Special Bitter,British Ale,United States
Dogtoberfest Octoberfest,1159,Flying Dog Brewery,5.3000001907,German-Style Oktoberfest,German Lager,United States
Hope & King Scotch Ale,1174,Minneapolis Town Hall Brewery,6.0,Scotch Ale,British Ale,United States
Big Island Porter,1181,Green Mill Brewing - Saint Paul,0.0,Porter,Irish Ale,United States
Irish Gold,1191,O'Gara's Bar & Grill,0.0,NA,NA,United States
Three Threads Porter,1203,Far West Ireland Brewing,0.0,Porter,Irish Ale,United States
Golden Export,1212,Gordon Biersch Brewing,5.0,NA,NA,United States
Old Numbskull 2003,1222,AleSmith Brewing,10.0,NA,NA,United States
Come About Imperial Stout,1223,Ballast Point Brewing,9.0,American-Style Imperial Stout,North American Ale,United States
Amber,1233,La Jolla Brew House,0.0,American-Style Amber/Red Ale,North American Ale,United States
Wheat,1236,La Jolla Brew House,0.0,South German-Style Hefeweizen,German Ale,United States
Old Guardian Barley Wine 2003,1245,Stone Brewing Co.,9.9099998474,NA,NA,United States
Red Square,1278,Port Brewing Company,0.0,American-Style Stout,North American Ale,United States
Belgian Abbey Red,1287,Karl Strauss Brewery Gardens - Sorrento Mesa,0.0,NA,NA,United States
Burly Brown Ale,1315,James Page Brewing,0.0,American-Style Brown Ale,North American Ale,United States
7th Anniversary IPA,1371,Stone Brewing Co.,7.6999998093,American-Style India Pale Ale,North American Ale,United States
Port Washington Amber Ale,1393,Hops Haven Brew Haus,0.0,American-Style Amber/Red Ale,North American Ale,United States
Chief Blackhawk Porter,1432,Tyranena Brewing,5.5999999046,Porter,Irish Ale,United States
8-Ball Stout,1434,Lost Coast Brewery,0.0,American-Style Stout,North American Ale,United States
Caramel Rye,1460,Old Hat Brewery,0.0,American-Style Lager,North American Lager,United States
Amber Plus,1462,Illinois Brewing,0.0,American-Style Amber/Red Ale,North American Ale,United States
9Â½ Wheats,1467,"Fitger's Brewhouse, Brewery and Grill",0.0,NA,NA,United States
Dubbel Dragon,1476,Dragonmead Microbrewery,7.1999998093,Other Belgian-Style Ales,Belgian and French Ale,United States
Oak Aged Single Malt,1484,Minneapolis Town Hall Brewery,0.0,NA,NA,United States
India Pale Ale,1489,Arcadia Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Augsburger Dark,1505,Stevens Point Brewery,0.0,American-Style Lager,North American Lager,United States
Bigfoot 1998,1556,Sierra Nevada Brewing Co.,9.6000003815,NA,NA,United States
Tripel Crown,1558,Middle Ages Brewing,10.0,Belgian-Style Tripel,Belgian and French Ale,United States
Monkfish Tripel,1559,Fish Brewing Company & Fish Tail Brewpub,0.0,NA,NA,United States
Old Scratch Barleywine 1996,1585,Great Dane Pub and Brewing #1,0.0,NA,NA,United States
Z.P.A. India Pale Ale,1601,Zea Rotisserie and Brewery,0.0,American-Style Pale Ale,North American Ale,United States
Clearview Light,1605,Zea Rotisserie and Brewery,0.0,NA,NA,United States
Two-Hearted Ale,1698,Kalamazoo Brewing,0.0,American-Style Pale Ale,North American Ale,United States
Pale Ale,1708,Clipper City Brewing Co.,5.0,American-Style Pale Ale,North American Ale,United States
Winter Fest Beer,1715,Nicolet Brewing,0.0,Traditional German-Style Bock,German Lager,United States
